IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
520;0.9965;;4;4;9232.81095500816;39.1351196918367;7904.57515839592;133.701638844796;1213.96910054082;1998.09123345612
521;1.017;;5;4;10993.185435908;43.618409178;8798.302298228;92.2941040279;1231.76304633;2549.146681587
522;0.8985;2.5Y;4;4;11456.2431397791;54.5958957431373;9466.9029168902;135.126995439118;1389.22609208824;2380.62373175196
523;1.15;2.5Y;4;4;8201.64476343522;46.0491375641509;6696.30435210189;147.720394988585;1375.19245106604;1708.09171696887
524;1.39;;;;;;;;;
525;1.193;2.5Y;4;6;9935.97109478333;54.1315217865385;9258.42002233461;142.275997219135;1292.72957320192;2165.8628349875
526;1.2995;2.5Y;6;2;2426.60337466667;28.541105242;5589.90109846;367.9375143256;363.5475744802;397.536412872
527;1.1255;;4;2;1512.11717;7.522933225;721.067571596154;11.0490520669231;412.041686038654;209.240897588462
528;1.2295;2.5Y;3;2;10732.4983525926;38.5417713311111;2448.06564773333;46.836803584;1484.98350964467;1400.24755008
529;0.723;2.5Y;5;2;4114.83032820513;12.2476230538462;10247.4096908269;340.154584774615;1135.83174430788;410.485973723077
530;1.2765;;;;;;;;;
531;1.282;;;;;;;;;
532;1.146;;;;;;;;;
533;1.259;2.5Y;5;4;8016.26310841277;52.0461996148936;7822.66641194468;97.6392553488298;1818.84289503192;1546.95991253936
534;1.291;;;;;;;;;
535;1.233;2.5Y;5;4;7855.94697298846;50.2310149596154;7121.84358098846;86.6052914883654;1572.07847147115;1658.35226152596
535.01;;;;;;;;;;
536;1.138;;;;;;;;;
537;1.272;;;;;;;;;
538;1.214;;;;;;;;;
539;1.401;;;;;;;;;
540;1.2115;;;;;;;;;
541;1.0415;;;;;;;;;
542;1.182;;;;;;;;;
543;1.2385;;;;;;;;;
544;1.058;;;;;;;;;
545;1.2085;;;;;;;;;
546;1.2165;;;;;;;;;
547;1.197;;;;;;;;;
548;1.214;;;;;;;;;
549;1.1915;;;;;;;;;
550;0.9825;;;;;;;;;
591;1.1195;2.5Y;5;3;3686.93654184861;47.1357091020833;8796.10793877917;263.923479383229;878.551583052083;699.385251653125
592;1.129;2.5Y;5;3;2400.94275837308;41.7255899596154;6024.01763483461;178.565229892212;901.520028009615;458.538316525962
593;1.098;2.5Y;5;4;3233.04784542436;38.2914825173077;9140.75965310385;287.149611392212;863.965099548077;665.353019602885
594;1.245;2.5Y;5;4;8860.234767908;49.496414018;8882.451013228;164.1833854879;2266.32311953;1656.408615587
595;1.408;;;;;;;;;
596;1.4585;2.5Y;4;4;6622.9612298381;33.2622325693877;5870.64185533469;126.138683334592;1020.17480421429;1509.53588529286
597;1.4185;2.5Y;4;5;7942.31194257467;47.915105078;6286.345446228;134.0568751679;1242.96980353;1770.267772387
605;0.926666666666667;2.5Y;5;3;2536.65738226667;20.94174369;4146.796968;355.98844204;401.7500692;425.8883514
606;0.976666666666667;2.5Y;6;2;2824.09671390071;40.7960997914894;4662.75550957447;162.205178085106;595.263110425532;1365.49980170213
607;0.946666666666667;5Y;6;2;2523.65289551515;18.14462176;3785.79233636364;105.761760345455;557.271689818182;1161.98125563636
608;0.963333333333333;2.5Y;5;2;2802.33822453333;13.6145755288;4022.8339172;55.07370616;683.2836568;1182.9942574
612;0.893333333333333;2.5Y;5;3;2322.04052066667;26.296261494;4273.212755;371.48903892;369.56782954;366.11000398
