IDEN;IDEN.2;;Method;Texture;;Sable;Limon;Argile;Argile Catherine;Limon grossier;Limon moyen;Limon fin;1-2 mm;0.5-1.0 mm;0.25-0.5 mm;0.1-0.25 mm;0.05-0.01 mm;Sable fractionnement
187;187;5;2;Loam sableux;;60,1;27,6;12,3;;6,3;10,8;10,5;13,67;17,29;10;6,31;5,65;52,9
188;188;6;2;Loam sableux;;56;31,7;12,3;;6,4;16,2;9,1;11,23;17,84;11,13;5,77;4,77;50,74
189;189;7;2;Loam sableux;;55,6;25,3;19,1;;4,8;10,7;9,9;16,8559474;17,23450887;7,093046424;4,771866906;2,201633792;48,15700339
190;190;8;2;Sable loameux;;82,7;12,1;5,3;;1,7;4,4;6;20,22572913;16,43028366;7,580902917;5,01398322;2,25729125;51,50819017
191;191;9;2;Sable;;88,3;8,1;3,6;;2,1;4,4;1,6;16,22;27,41;12,75;5,71;3,24;65,33
192;192;10;2;Sable loameux;;80,6;11,1;8,2;;1,7;4,4;5;6,51;29,89;41,92;8,04;1,57;87,94
193;193;11;2;Sable loameux;;87,1;7,2;5,6;;1,2;4,4;1,6;16,18;40,02;26,6;4,04;1,09;87,93
194;194;12;2;Loam limoneux;;41,7;35,4;22,9;;6,2;15,3;13,9;13,07169962;50,06990214;15,22867985;1,957259836;0,70900739;81,03654883
195;195;13;2;Loam;;38,8;38,3;22,9;;7;18,1;13,1;14,3840399;50,39401496;13,80548628;1,516209476;0,578553616;80,67830424
196;196;14;2;Loam;;33,5;39,6;26,9;;6,2;17,1;16,3;14,07;22,14;8,79;4,4;2,72;52,12
197;197;15;2;Loam argileux;;35,5;38,9;25,6;;6,2;19;13,6;13,32;18,6;9,82;5,68;3,92;51,34
198;198;16;2;Loam;;41,5;32,6;25,9;;5,4;15,3;11,9;7,09;16,26;9,78;4,27;3,5;40,9
199;199;17;2;Loam argileux;;33,5;39,1;27,5;;6,2;18,9;13,9;11,53;16,47;9,84;5,11;3,14;46,09
200,1;200,1;18;2;Loam sableux;;57,2;36,5;6,3;;27,3;7,1;2,1;10,89;18,04;12,03;6,63;4,3;51,9
200,2;200,2;18;;;;;;;;;;;6,87;17,64;8,67;5,09;3,69;41,96
201;201;19;2;Sable loameux;;79,9;14,5;5,6;;4,8;8,9;0,8;0,35;0,86;1,67;21,95;30,69;55,52
202;202;20;2;Sable loameux;;81,3;13,5;5,2;;3,3;7,1;3,2;;;;;;
