IDEN;M0.75;M5;M120;M420;M1440
1608;13.92480605;10.94091904;5.96777402;4.475830515;2.98388701
1609;13.48651349;10.48951049;5.994005994;4.495504496;2.997002997
1610;63.83814575;29.46375958;9.821253192;6.874877234;3.928501277
1611;55.20504732;27.60252366;9.858044164;5.914826498;2.957413249
1612;48.95104895;29.97002997;11.98801199;6.993006993;2.997002997
1613;51.40371688;33.61012258;14.82799526;9.88533017;5.931198102
1736;37.07043382;28.05330127;17.03236149;14.02665064;9.017132552
1737;19.41650901;13.94005775;8.961465698;7.467888081;5.47645126
1739;16.99490153;5.99820054;3.498950315;2.99910027;1.99940018
1741;46.42108416;37.93550963;24.95757213;18.96775482;13.47708895
1742;20.96436059;15.97284616;11.48048318;8.984725966;6.988120196
1743;50.93378608;43.44352342;28.4629981;22.47078798;16.97792869
1744;50.62656642;42.10526316;28.07017544;22.55639098;17.04260652
1745;53.91373802;43.43051118;27.45607029;21.96485623;16.47364217
1746;13.01301301;7.007007007;3.503503504;3.003003003;1.501501502
1747;16.94239585;13.95256129;7.474586406;5.979669125;4.484751844
1749;15.0060024;9.003601441;5.0020008;4.00160064;3.00120048
1750;21.98680792;14.49130522;8.994603238;7.495502698;5.496701979
1751;12;8.5;6;5;3.5
1752;8.511916683;6.008411776;4.506308832;4.005607851;3.004205888
1753;48.00480048;34.00340034;20.50205021;15.50155016;10.50105011
1754;28.37514934;8.960573477;3.484667463;1.99123855;0.995619275
1756;96.9030969;89.91008991;50.94905095;32.96703297;17.98201798
1757;99.28514694;91.34233519;50.63542494;31.77124702;15.88562351
1758;90.51123931;73.60254625;43.76367615;34.81201512;23.87109608
1759;87.77179334;77.79772591;50.86774387;34.90923599;18.95072811
1760;87.5273523;77.58106226;51.72070818;36.80127313;20.88720907
1761;69.95802518;55.96642015;36.97781331;28.98261043;17.98920648
1773;75.96961216;70.97161136;63.97441024;50.97960816;41.98320672
1774;61.83921803;44.88330341;33.91182924;27.92738879;22.94035508
1775;52.10420842;44.08817635;24.04809619;18.03607214;11.02204409
1776;67.63477223;53.70996618;30.8334991;20.88720907;15.91406405
1777;89.6;76.7;46.8;33.9;22.9
1778;53.9;50.9;34.9;26.9;18
1779;77.2;62.1;40.1;30.1;21
1780;63.7;44;29;22.5;15.9
1781;58.6;47.5;31.3;24.2;16.2
1782;60.18916595;38.69303525;19.34651763;10.74806535;7.523645744
1783;68.3;42.2;13.1;8;5
1784;66.6;49.2;27;20.3;14.5
1785;76.2;63.1;41.1;30.1;19
1786;29;21;13;11;8
1787;89.83829108;77.85985227;45.91734877;29.94609703;17.96765822
1788;87.78930567;75.81803671;42.89704709;28.93056664;19.95211492
1789;80;65;43;33;23
1790;83;70;43;31;19
1791;88.62776339;83.64867556;67.7155945;54.76996614;41.82433778
1792;79.26306769;72.83633248;55.69837189;43.91602399;32.13367609
1793;83.77685788;78.84880741;61.10782574;50.26611473;37.45318352
1794;77.51177394;71.62480377;56.90737834;44.1522763;33.35949765
1795;83.3;75.3;54.2;44.2;33.1
1796;84.15841584;79.20792079;59.40594059;44.55445545;31.68316832
1797;88.6;79.7;56.8;44.8;32.9
1798;95.4;90.5;64.6;48.7;30.8
1799;90.4;74.7;41.3;24.6;13.8
1800;44.5;30.9;15.5;10.6;7.2
1801;92.47311828;87.09677419;68.8172043;53.76344086;38.70967742
1802;67.11409396;42.21693007;25.97964927;18.40225157;15.15479541
1954;38.41665046;28.20462945;20.42404202;17.50632173;14.58860144
2208;25.55472451;13.7122912;6.8561456;6.232859636;4.986287709
2209;26.99730027;16.99830017;9.499050095;7.499250075;5.99940006
2210;25.97143143;15.98241934;8.490660274;6.992308461;5.993407252
2211;16.32693449;10.884623;4.947555907;3.958044726;3.958044726
2212;24.65240114;11.83315255;6.409624297;5.423528252;4.930480229
2213;26.90012716;14.67279664;8.31458476;6.847305096;5.869118654
2214;24.98500899;15.99040576;8.994603238;7.995202878;5.996402159
2215;32.29332273;18.87917329;10.43322734;7.949125596;6.955484897
2216;35.95685178;21.97363164;10.98681582;9.988014383;7.990411506
2217;24.06623027;14.43973816;7.21986908;5.775895264;4.813246053
2218;26.5;14.5;8;6.5;5.5
2219;21.15791498;11.5406809;6.251202154;5.289478746;3.846893633
2220;21.44852354;10.97366321;6.48443735;4.988028731;3.491620112
2221;33.93890996;19.46496307;9.482930725;6.987422639;5.989219405
2222;28.53207399;18.69342778;9.838646202;7.870916962;5.903187721
2225;20.14859589;10.07429795;5.037148974;4.407505352;2.518574487
2226;27.53466418;15.73409381;6.883666044;5.90028518;3.441833022
2227;20.97273544;13.98182363;6.990911815;5.992210127;4.494157595
2228;37.95824593;22.9747278;10.9879133;8.490660274;5.993407252
2229;15.81340186;9.883376161;4.941688081;4.447519273;2.965012848
2230;11.35241856;7.403751234;3.948667325;3.948667325;2.961500494
2232;31.92426244;19.81505945;8.806693087;6.605019815;5.504183179
2233;27.95527157;15.97444089;5.990415335;4.99201278;2.995207668
2234;27.25200674;13.87374889;5.450401348;4.954910316;2.97294619
2235;18.7118377;15.75733701;7.878668505;5.909001379;2.954500689
2236;15.46597486;11.47475554;5.986828976;5.986828976;3.991219318
2237;38.29873009;23.18081032;6.04716791;4.031445273;3.023583955
2240;17.87665111;10.92462012;4.965736419;3.972589135;3.972589135
2241;23.58017259;11.53923339;6.522175396;5.017057997;3.010234798
2245;36.28230616;19.88071571;8.946322068;6.958250497;4.473161034
2247;24.35064935;13.18993506;6.594967532;5.073051948;3.551136364
2248;16.04331696;9.525719442;5.013536549;4.010829239;2.506768274
2249;21.46994208;13.9804274;7.988815658;5.991611744;3.994407829
2256;68.90791397;37.58613489;24.01336396;17.74900814;10.44059303
2257;61.7776006377043;43.8421681944998;19.9282582702272;13.949780789159;9.96412913511359
2269;23.11172305;13.27694729;8.85129819;6.146734854;4.917387884
2275;49.5142003;29.89536622;15.8819133;13.07922272;9.342301943
2283;19.27448848;8.895917762;4.942176535;4.942176535;3.953741228
2287;62.6924769;40.69511659;17.59788825;12.09854817;8.798944127
2292;59.15250592;36.56700366;16.13250161;12.90600129;8.60400086
2293;57.03027789;34.21816674;13.47988387;10.36914144;8.295313148
2294;47.10500491;26.49656526;10.79489696;7.850834151;5.888125613
2295;21.68525403;14.45683602;6.195786865;4.130524577;3.097893432
2296;28.76192966;14.38096483;7.190482416;5.229441757;3.922081318
2297;18.86792453;13.4061569;6.951340616;5.958291956;3.972194638
2298;31.29416515;16.15182718;6.056935191;4.037956794;3.028467595
2299;44.43585781;28.97990726;11.59196291;7.72797527;6.761978362
2300;43.63847944;30.06206362;14.54615981;10.66718386;7.757951901
2301;37.39511127;27.36227654;12.76906239;8.208682962;6.384531193
2302;44.72271914;31.8028225;15.90141125;11.92605844;7.950705625
2303;57.07100019;42.56142387;21.28071194;17.41149158;12.57496614
2304;56.16830065;38.80718954;19.40359477;14.29738562;10.2124183
2338;38.06363459;29.27971891;17.56783135;9.759906305;9.759906305
2349;51.95599022;41.76854116;25.46862266;18.33740831;13.24368378
2350;25.35211268;20.657277;13.14553991;7.511737089;9.389671362
2351;59.88023952;50.5239521;27.13323353;22.45508982;16.84131737
2352;53.70895825;45.60194568;30.40129712;23.30766113;19.25415484
2353;60.38647343;45.28985507;24.15458937;20.12882448;20.12882448
2354;36.13987107;31.25610471;19.53506544;15.62805235;13.67454581
2357;30.27935144;11.72103927;4.883766361;2.930259816;1.953506544
2359;79.33319944;53.22353886;19.08013657;7.029524001;7.029524001
2362;64.74221905;32.07412687;14.2551675;10.69137562;8.315514374
2367;43.01495747;19.5522534;5.865676019;3.910450679;2.93283801
