IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
210;01LEP00556;1.47;3.85;;;1.32;;
211;01LEP00558;1.35;1.72;;;1.733;;
212;01LEP00560;1.37;2.41;;;1.362;;
213;01LEP00562;1.36;2.13;;;1.564;;
214;01LEP00564;1.34;3.71;;;2.63;;
215;01LEP00566;1.36;1.79;;;1.773;;
216;01LEP00568;1.35;1.79;;;1.421;;
217;01LEP00570;1.45;1.72;;;1.508;;
218;01LEP00572;1.45;2.27;;;1.893;;
219;01LEP00574;1.14;2.48;;;1.882;;
220;01LEP00576;1.48;1.31;;;1.335;;
221;01LEP00578;1.43;2.89;;;2.026;;
222;01LEP00580;1.38;3.58;;;2.695;;
223;01LEP00582;1.47;2.89;;;2.387;;
224;01LEP00584;1.21;4.26;;;2.983;;
225;01LEP00586;1.44;2.2;;;1.608;;
226;01LEP00588;1.28;2.89;;;2.019;;
227;01LEP00590;1.42;2.06;;;1.6591;0.13832;0.0234
228;01LEP00592;1.26;3.78;;;2.755;;
229;01LEP00594;1.13;3.71;;;2.982;;
230;01LEP00596;1.06;6.47;;;4.382;;
231;01LEP00598;1.22;5.85;;;5.024;;
232;01LEP00600;1.17;4.54;;;3.291;;
233;01LEP00602;1.32;3.16;;;2.671;;
234;01LEP00904;1.27;5.02;;;3.4432;0.25314;0.041
235;01LEP00606;1.09;6.33;;;4.34;;
236;01LEP00608;1.3;1.38;;;1.705;;
237;01LEP00610;1.5;3.44;;;3.048;;
238;01LEP00612;1.47;3.1;;;2.381;;
239;01LEP00614;1.45;3.03;;;2.603;;
240;01LEP00616;1.42;3.44;;;2.684;;
241;01LEP00618;1.41;4.68;;;3.328;;
242;01LEP00620;1.46;3.58;;;2.91;;
243;01LEP00622;1.46;5.24;;;1.4415;0.14829;0.0184
244;01LEP00624;1.31;3.8;;;1.928;;
245;01LEP00626;1.19;5.06;;;2.611;;
246;01LEP00628;1.4;7.7;;;1.7257;0.15918;0.0158
247;01LEP00630;1.26;5.71;;;2.197;;
248;01LEP00632;1.36;7.11;;;1.3752;0.15953;0.0165
249;01LEP00634;1.15;3.24;;;1.777;;
250;01LEP00636;1.21;2.45;;;1.316;;
251;01LEP00638;1.11;10.75;;;;;
252;01LEP00640;1.34;5.17;;;1.678;;
253;01LEP00642;1.24;9.24;;;3.579;;
254;01LEP00644;1.19;4.65;;;2.216;;
255;01LEP00646;1.19;3.61;;;1.812;;
256;01LEP00648;1.15;5.71;;;2.698;;
257;01LEP00650;0.11;5.81;;;2.406;;
258;01LEP00652;1.34;9.42;;;2.6244;0.20883;0.0137
259;01LEP00654;1.37;7.09;;;1.2972;0.12791;0.0135
260;01LEP00656;1.59;1.51;;;0.49;;
261;01LEP00658;1.28;4.17;;;1.644;;
262;01LEP00660;1.42;3.33;;;1.251;;
263;01LEP00662;1.13;2.64;;;1.687;;
264;01LEP00664;1.56;6.55;;;1.81;;
265;01LEP00666;1.58;5.59;;;1.55;;
266;01LEP00668;1.48;6.16;;;2.065;;
267;01LEP00670;1.55;5.46;;;1.439;;
268;01LEP00672;1.54;6.74;;;2.397;;
269;01LEP00674;1.54;6.51;;;1.955;;
270;01LEP00676;1.58;3.75;;;1.19;;
271;01LEP00678;1.49;6.43;;;2.095;;
272;01LEP00680;1.48;7.47;;;2.214;;
273;01LEP00682;1.51;6.34;;;1.95;;
274;01LEP00684;1.53;6.34;;;2.062;;
275;01LEP00686;1.3;2.85;;;1.731;;
276;01LEP00688;1.28;2.78;;;1.866;;
277;01LEP00501;1.24;;;;1.2938;0.18638;0.0138
278;01LEP00503;;;;;0.81066;0.14302;0.0133
279;01LEP00505;;;;;1.4296;0.19213;0.0188
280;01LEP00507;;;;;0.99951;0.18619;0.0199
281;01LEP00509;;;;;0.75633;0.12192;0.0123
282;01LEP00511;;;;;1.4251;0.16135;0.02
283;01LEP00513;;;;;1.2404;0.16774;0.0185
284;01LEP00515;;;;;0.6792;0.14116;0.0131
285;01LEP00517;1.51;;;;0.91438;0.11012;0.0131
286;01LEP00519;1.41;;;;0.39105;0.10423;0.0124
287;01LEP00521;1.45;;;;0.6715;0.11507;0.0118
288;01LEP00523;1.17;;;;1.0712;0.16031;0.0194
289;01LEP00525;1.25;;;;1.0077;0.14707;0.0157
290;01LEP00527;1.27;;;;0.96803;0.14809;0.0163
291;01LEP00529;1.24;;;;1.3018;0.16681;0.0197
292;01LEP00531;1.35;;;;1.6254;0.19945;0.0258
293;01LEP00533;1.34;;;;0.88757;0.14517;0.0136
294;01LEP00535;1.49;;;;0.47239;0.07135;0.0128
295;01LEP00539;1.6;;;;0.57986;0.10187;0.0136
296;01LEP00541;1.47;;;;0.85413;0.09463;0.016
297;01LEP00543;1.57;;;;0.75557;0.11443;0.0233
298;01LEP00545;1.39;;;;2.6104;0.16169;0.0244
299;01LEP00547;1.42;;;;1.8007;0.14408;0.0261
300;01LEP00549;1.51;;;;0.71744;0.0909;0.0108
301;01LEP00551;1.44;;;;1.1709;0.10644;0.0112
302;01LEP00553;1.52;;;;0.70327;0.09969;0.00898
303;01LEP00555;1.55;;;;0.72622;0.09926;0.0126
304;01LEP00557;1.56;;;;0.66766;0.09404;0.0101
