IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
2341;;;;;1.947;;2.3;0;0.1282;4.29;4.69;;6.62;;46.3;416;32;;;;619;;5.6;;;;;
464;01LEP00108;30;60;;;;;;;4.3;;;;250;6.8;387;11;;;;2820;;;;;;;
566;10LEP00116;0;20;;;;1.705;;;4.3;;;;35;;;;;;;1222.79;151.98;;;;;;
189;01LEP00512;0;30;2.27;;;1.497;0.00789;0.09678;4.31;;;;207.5;236.2;516;82.1;;;;2024.03;;11.94;;;;;
402;01LEP00098;15;30;5.43;;;3.425;0.01842;0.1855;4.31;;;;11.03;14.2;195;11;;;;2186;;;;;;;
439;01LEP00030;30;60;;;;;;;4.31;;;;500;19.5;137;39;;;;2055;;;;;;;
560;10LEP00110;0;20;;;;0.83;;;4.31;;;;65.13;;;;;;;1080.1;101.94;;;;;;
330;01LEP00609;30;60;;;;;;;4.32;4.65;;;156.9;248;573;64;;;;1960;;;;;;;
411;01LEP00125;15;30;1.03;;;1.11;-0.00506;0.0538;4.32;;;;18.39;10.3;158;12;;;;2147;;;;;;;
457;01LEP00087;30;60;;;;;;;4.33;;;;990;6.9;67;5;;;;2854;;;;;;;
1335;14LEP02129;0;20;;;;2.173;0.0225;0.2056;4.33;;;;44.6;141.63;428.44;46.07;12.4;2.49;1.96;1455.82;409.9;;;;40.2478;;
310;01LEP00569;30;60;;;;;;;4.34;4.54;;;35.61;65.3;189;31;;;;1198;;;;;;;
470;01LEP00126;30;60;;;;;;;4.34;;;;170;7.8;174;10;;;;2233;;;;;;;
1187;14LEP01257;0;20;;;;2.473;0.0219;0.2614;4.34;;;;63.59;91.28;317.7;39.61;23.68;0.82;0.19;1052.9;222.3;;;;;;
484.04;01LEP00180;;;;;;;;;4.35;;;;1290;4.5;65;5;;;;3096;;;;;;;
658;11JG00133;0;20;;;;2.245;0.03467;0.1337;4.35;4.23;;6.38;174.42;63.38;1128.7;77.46;57.34;2.31;1.56;710.75;505.22;10.359;;16.53;;27.54;
983;14LEP01052;0;20;;;;1.942;0.02358;0.1944;4.35;;;;51.2;163;291.32;33.22;18.03;0.85;0.56;1145.31;325.54;;;;36.768;;
2794;16ML0002;;;;;;1.746;0.02;0.16;4.35;;;6.17;80.56;31.44;41.94;0;5.6;2.15;0.98;1693.94;100.51;6;;;;;
2807;16ML0015;;;;;;1.205;0.01;0.14;4.35;;;6.44;165.06;123.06;408.87;75.03;66.13;2.92;0.77;1023.06;397.69;9.6;;;;;
242;01LEP00620;0;30;3.58;;;2.91;0.02886;0.1623;4.36;4.41;;6.18;74.29;80.6;220;32;;;;2015.71;;;;;;;
1131;14LEP01201;0;20;;;;2.146;0.01806;0.2191;4.36;;;;135.33;157.89;339.89;45.88;34.36;1.25;0.41;1441.63;292.75;;;;40.7;;
1201;14LEP01271;0;20;;;;1.5;0.01078;0.1741;4.36;;;;68.08;80.62;242.15;33.34;19.07;1.99;0.13;1214.69;212.91;;;;;;
429;01LEP00179;15;30;3.51;;;2.649;0.0138;0.1216;4.37;;;;10.67;16.3;119;8;;;;2329;;;;;;;
484.01;01LEP00171;;;;;;;;;4.37;;;;570;13.1;64;5;;;;2635;;;;;;;
581;10LEP00131;0;20;;;;2.638;;;4.37;;;;97.83;;;;;;;1235.8;186.93;;;;;;
1189;14LEP01259;0;20;;;;1.71;0.01233;0.1969;4.37;;;;58.1;94.26;263.52;30.17;25.42;0.73;0.12;1079.58;233.69;;;;;;
291;01LEP00529;30;60;;;;;;;4.38;4.72;;;20.12;317.3;702;71;;;;2081;;;;;;;
572;10LEP00122;0;20;;;;2.424;;;4.38;;;;94.27;;;;;;;812.08;373.45;;;;;;
580;10LEP00130;0;20;;;;1.784;;;4.38;;;;94.97;;;;;;;1186.18;117.23;;;;;;
984;14LEP01053;0;20;;;;2.138;0.02638;0.2065;4.38;;;;36.85;112.35;514.35;31.62;19.66;0.85;1.01;1205.76;312.31;;;;22.758;;
985;14LEP01054;0;20;;;;2.198;0.03493;0.2287;4.38;;;;29.69;174.25;507.54;35.12;18.37;0.59;1.13;1312.91;350.24;;;;50.518;;
