IDEN,Prediction,SAND,SAND_IR,SEP,SD,RPD,RER
52,Set7_All features,67.9279487946308,48.8077153303515,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
53,Set7_All features,81.6503129525597,53.5869207770841,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
59,Set7_All features,37.9392386807101,39.1704295973847,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
60,Set7_All features,65.1645961137218,62.9496304018022,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
62,Set7_All features,24.4921256552323,8.34797682694322,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
104,Set7_All features,61.9112862476921,60.697359222059,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
491,Set7_All features,82.6431583365703,67.7329122315056,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
492,Set7_All features,41.058952648282,41.6414912366557,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
591,Set7_All features,24.3023715644237,25.8221935600466,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
592,Set7_All features,62.6270523686074,62.231207069284,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
593,Set7_All features,36.3139138583224,37.195323490433,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
597,Set7_All features,83.5113061633383,82.1268147183695,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
605,Set7_All features,42.576124724846,37.8607058367609,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
607,Set7_All features,2.94151903825015,2.99448891722677,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
618,Set7_All features,33.5986819606703,33.2265768439302,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
627,Set7_All features,68.7725418425554,68.142076694618,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
633,Set7_All features,3.69957431407353,18.1195909118857,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
638,Set7_All features,31.9881051546149,32.2093807069578,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
641,Set7_All features,72.1550933873915,67.8722022697643,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
642,Set7_All features,4.7272874345295,4.83122197176475,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
