IDEN,Prediction,SILT,SILT_IR,SEP,SD,RPD,RER
1777,Set1_%,86.765862,84.3480215247999,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1774,Set1_%,60.436861,60.5344582502461,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1789,Set1_%,78.371476,79.1322218187819,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1782,Set1_%,58.830821,58.6232611831628,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1787,Set1_%,86.805304,86.2102168359837,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
529,Set1_%,82.64274,49.2752845049151,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
370.18,Set1_%,4.990752,6.36082419848475,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
407,Set1_%,80.11265,80.9415987470323,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
423,Set1_%,32.249564,33.3855478576578,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
422,Set1_%,37.611768,37.5436987286225,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
845,Set1_%,19.150139,20.5645812409685,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
824,Set1_%,22.93464,36.9815899014602,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
717,Set1_%,76.549528,52.2454781297184,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
709,Set1_%,80.059961,62.8358541115523,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
737,Set1_%,87.777009,72.0600983411612,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
744,Set1_%,90.575237,88.3650286746341,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
732,Set1_%,87.312238,85.2261295288876,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
758,Set1_%,56.930097,48.750527000183,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
727,Set1_%,56.18601,56.0526624776911,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
760,Set1_%,24.511922,24.2952634172297,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
762,Set1_%,23.216028,23.2992516222847,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
68.1,Set2_%,19.3693090816302,25.3627462033662,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
387,Set2_%,54.8721790380736,37.3811241712357,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
615,Set2_%,43.2091015389551,43.4324822300508,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
626,Set2_%,85.0556804097803,51.8926079339131,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
676,Set2_%,25.7173141260644,36.6310247408832,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
682,Set2_%,27.6931626185408,40.4502192824784,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
687,Set2_%,44.0356263008566,50.3935469658241,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
2233,Set2_%,15.5371212251213,26.3485875752218,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
2257,Set2_%,54.5897254638147,43.816976305703,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
2265,Set2_%,27.0627755587909,23.0242963957321,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
2284,Set2_%,10.8767108190465,18.5183949202569,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
2350,Set2_%,12.8201574007494,24.9540517714437,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
29,Set2_%,37.6520135554413,28.4497470018534,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
32,Set2_%,12.2335544361173,26.8870504805067,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
50,Set2_%,33.5143902583113,41.5973975608624,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
53,Set2_%,11.9861258531551,22.4974460349734,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
99,Set2_%,12.3364527252923,13.0549139080182,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
102,Set2_%,10.4684360447726,10.1132912089649,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
126,Set2_%,36.253221806428,27.6668045731897,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
129,Set2_%,30.1680682384759,25.7598997343111,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
252,Set2_%,22.5074799471381,24.995959659668,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
255,Set2_%,56.008171039976,47.8031828495797,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
258,Set2_%,15.855501113009,10.6930287730628,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
270,Set2_%,8.99180596328667,8.38271233808439,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
273,Set2_%,12.6011958418055,11.2523990865374,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
288,Set2_%,32.6947589259817,26.240953970026,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
297,Set2_%,7.59154489239922,3.05482604792627,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
312,Set2_%,5.52708199649686,19.2646387280806,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
317,Set2_%,3.34296273988394,17.5958273729233,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
332,Set2_%,4.17475891944676,6.34058471239618,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
335,Set2_%,8.97773825980781,7.8208125469332,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
338,Set2_%,57.9026024154588,45.1314188193701,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
341,Set2_%,37.2180461632168,31.3770277930987,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
352,Set2_%,15.4399529027782,14.0030421064911,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
358,Set2_%,4.71464041018155,14.3653500722117,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
487,Set2_%,15.7320930310092,15.0910349063518,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
501,Set2_%,34.2499904707575,32.4111378567178,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
507,Set2_%,44.5240030899864,42.0424823916543,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
538,Set2_%,16.623357483542,12.2142829858368,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
550,Set2_%,73.3717377217044,37.9823520738019,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
596,Set2_%,8.14878050838025,7.90199748261063,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
612,Set2_%,40.1921694063123,27.7135019208899,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
622,Set2_%,47.0763410321267,39.6347527296676,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
633,Set2_%,44.7892878840188,45.0769740153509,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
639,Set2_%,35.6848746993412,36.1367895186562,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
645,Set2_%,28.323273413285,32.8215960876511,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
656,Set2_%,48.0045000683285,43.1022189123386,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
668,Set2_%,45.1531321347544,42.698308400902,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
683,Set2_%,36.9285703533236,44.2012142330988,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
689,Set2_%,47.0776667236913,46.761321356192,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
714,Set2_%,23.4556733911956,26.886580614407,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
743,Set2_%,65.8619670996776,54.8298637164627,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
746,Set2_%,62.3405935396838,47.7731165881225,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
749,Set2_%,8.66863024166372,10.3544440164777,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
782,Set2_%,33.7437304533068,29.1188682290907,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
795,Set2_%,47.4043896753036,35.7014874429985,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
807,Set2_%,9.51417046040113,10.8525714790576,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
838,Set2_%,10.0744150367357,7.59561504253664,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
841,Set2_%,10.4156930597843,17.4440874094788,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
848,Set2_%,9.4895017731522,15.4339005844687,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
872,Set2_%,12.5133093484913,12.1649405167179,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
875,Set2_%,10.4049689690216,11.5548671550408,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
878,Set2_%,9.84208864377592,17.80882070883,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
898,Set2_%,30.4783169030776,26.6567016078025,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
928,Set2_%,22.8549793190179,21.9951301317625,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
934,Set2_%,6.5678180924735,15.8169904951432,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
967,Set2_%,50.9919900484392,36.4506250163562,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
987,Set2_%,11.9962025259117,13.6295442701898,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1013,Set2_%,11.0243627843637,15.2395768608982,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1026,Set2_%,8.93112605045477,9.81516069762358,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1142,Set2_%,4.61741577337364,3.58188978689065,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1147,Set2_%,17.7012349802541,26.633559336413,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1153,Set2_%,22.7912029168821,26.4868518548667,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1175,Set2_%,9.56254979675102,22.7663635772496,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1192,Set2_%,8.56206629608026,14.4629466424842,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1235,Set2_%,9.62223914316173,10.0955001152795,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1263,Set2_%,20.1246512320556,16.188012124509,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1285,Set2_%,35.8856471650173,40.33931505379,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1307,Set2_%,45.7227381216249,47.8259493857333,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1340,Set2_%,29.1399311188572,32.2969168635797,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1409,Set2_%,8.81794924746983,9.5973662759043,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
1412,Set2_%,8.48480832643661,16.6349540189218,1.59090507646911,20.1712222312981,12.679085967886,58.460084213543
