IDEN,Prediction,C_perc,C_IR,SEP,SD,RPD,RER
174,Set2_ilr,1.679,2.20895806051617,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2364,Set2_ilr,1.788,1.82360626929303,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2257,Set2_ilr,6.177,4.557285377494,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1555,Set2_ilr,2.158,1.67669663375107,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2805,Set2_ilr,2.08,2.07666606187504,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1774,Set2_ilr,1.7187,2.07327991812775,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1789,Set2_ilr,1.2483,1.86701874347892,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1797,Set2_ilr,5.057,4.75962275225858,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
253,Set2_ilr,3.579,2.95986310701506,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
824,Set2_ilr,2.969,1.99630909335262,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
758,Set2_ilr,2.129,2.35781823475402,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
529,Set7_All features,3.142,3.01156998366456,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
824,Set7_All features,2.969,2.89678655309338,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
845,Set7_All features,3.378,3.32561014365737,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
24,Set7_All features,6.154,3.35447285086538,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
28,Set7_All features,10.217,2.75030694731087,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
52,Set7_All features,2.707,4.42012453966144,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
53,Set7_All features,3.57,3.65407843934762,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
59,Set7_All features,1.755,1.69091489298213,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
60,Set7_All features,3.388,3.40921525044644,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
62,Set7_All features,2.339,2.91282280123879,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
104,Set7_All features,3.3443,3.22431803517059,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
491,Set7_All features,2.8977,2.75297606992426,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
492,Set7_All features,2.34,2.29650456099975,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
591,Set7_All features,2.8413,2.78619263578054,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
592,Set7_All features,2.421,2.3891889610081,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
593,Set7_All features,2.307,2.5375603344809,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
597,Set7_All features,2.561,2.28904885774336,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
605,Set7_All features,2.33,2.4262615079733,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
607,Set7_All features,2.377,2.29084205096003,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
618,Set7_All features,2.769,2.69774195737272,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
627,Set7_All features,2.136,2.17488939662301,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
633,Set7_All features,2.033,2.31135067192366,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
638,Set7_All features,2.24,2.21269272824142,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
641,Set7_All features,1.667,1.69576684678787,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
642,Set7_All features,2.635,2.6847652241051,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
644,Set7_All features,2.54,2.5548407873274,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
645,Set7_All features,1.365,1.58004278439021,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
651,Set7_All features,2.218,2.16281130074352,0.112392964227638,1.32984182708703,11.8320736197828,110.668048355836
